index,scenario,country,original,rem_25,rem_50,rem_75,rem_100
89,defaunation,Australia,1011.165666,1004.779966,1005.025317,1005.624311,989.70367
90,defaunation,Australia,1011.165666,1010.527902,996.292213,1012.002888,1015.296226
91,defaunation,Australia,1011.165666,1009.121568,1006.094503,1014.622375,1008.395197
92,defaunation,Australia,1011.165666,1003.655511,996.2994108,1005.568205,1000.477941
93,defaunation,Australia,1011.165666,1000.563868,1009.85319,1004.513792,1012.194054
94,defaunation,Australia,1011.165666,1013.082554,1009.676621,1022.424441,1001.22006
95,defaunation,Australia,1011.165666,1009.185437,1003.845226,1002.939163,1010.774519
96,defaunation,Australia,1011.165666,1009.252338,1012.430159,1002.821638,995.196139
97,defaunation,Australia,1011.165666,1006.35503,1001.27279,1002.781662,990.1619195
98,defaunation,Australia,1011.165666,1011.772997,1002.812248,1001.673104,1008.768264
99,defaunation,Australia,1011.165666,1018.643181,996.4046693,1003.635415,1002.752568
100,defaunation,Australia,1011.165666,1013.369514,1020.744793,1006.177915,1004.797007
101,defaunation,Australia,1011.165666,1008.430809,1001.96816,1003.503619,1005.927714
102,defaunation,Australia,1011.165666,1007.764366,1009.462467,996.3533361,1005.300723
103,defaunation,Australia,1011.165666,1009.504082,1005.257327,1019.903624,1010.564309
104,defaunation,Australia,1011.165666,1004.459497,1010.115243,1009.225531,1005.232315
105,defaunation,Australia,1011.165666,1012.663749,1006.44488,1005.786728,1003.082568
106,defaunation,Australia,1011.165666,1005.493456,1016.529587,1001.394493,999.5026594
107,defaunation,Australia,1011.165666,1010.699328,1019.565582,1012.69966,1007.194939
108,defaunation,Australia,1011.165666,994.9512509,1008.508029,1006.855748,1001.175968
109,defaunation,Australia,1011.165666,1011.160243,1005.897911,1014.600782,1002.82158
110,defaunation,Australia,1011.165666,1010.89353,1014.394599,1009.899471,996.693736
111,defaunation,Australia,1011.165666,1008.017808,1002.934805,1020.972416,1003.157108
112,defaunation,Australia,1011.165666,1007.469741,1007.486681,999.4991076,1012.701095
113,defaunation,Australia,1011.165666,1016.691344,999.2413832,1013.011738,993.8058327
114,defaunation,Australia,1011.165666,1013.14406,1003.560757,1002.866174,1006.613667
115,defaunation,Australia,1011.165666,1008.529364,1011.363228,1002.191109,1012.093728
116,defaunation,Australia,1011.165666,1026.363054,1012.71865,993.8244668,1012.005327
117,defaunation,Australia,1011.165666,1011.90719,1009.509221,1018.250442,1000.397158
118,defaunation,Australia,1011.165666,1010.501076,1011.424485,1003.015175,1001.652315
119,defaunation,Australia,1011.165666,1011.652872,1006.321231,1006.840051,986.2834263
120,defaunation,Australia,1011.165666,1004.576352,1019.008378,1005.064518,1004.239673
121,defaunation,Australia,1011.165666,1009.259278,1022.937613,1007.90245,999.7950607
122,defaunation,Australia,1011.165666,1011.94454,1025.992102,1011.253577,1013.106121
123,defaunation,Australia,1011.165666,1011.851654,997.9385217,1017.360757,996.4059398
124,defaunation,Australia,1011.165666,1017.240074,1005.747402,998.1567127,994.0069991
125,defaunation,Australia,1011.165666,1012.456005,1010.311368,1019.952294,1000.361907
126,defaunation,Australia,1011.165666,1009.2539,1013.106591,996.9495746,1011.924775
127,defaunation,Australia,1011.165666,1011.44394,1008.87308,1009.132165,1002.966635
